ATMEGA328P BOARD,,,,,,,,,,,,
Item #,Designator,Quantity,Manufacturer,Mfg Part #,Description,Package,Type,Ordered?,Purchased Via,Purchase Date,,
,,,,,,,,,,,,
1,"C1, C2, C4, C5, C6, C9, C12, C13, C14, C21, C25",11,KEMET,C0603X104K5RACTU,CAP CER 0.1UF 50V X7R 0603,0402,SMD,Y,PCBWAY,11-24,,
2,C3,1,YAGEO,CC0402KRX5R6BB475,CAP CER 4.7UF 10V X5R 0402,0402,SMD,Y,PCBWAY,11-24,,
3,"C7, C8, C15, C16, C22",5,KEMET,C0805X223K5RAC7800,CAP CER 0.022UF 50V X7R 0805,0805,SMD,Y,PCBWAY,11-24,,
4,"C10, C11, C19, C20, C23",5,YAGEO,CC0402JRNPO9BN200,CAP CER 20PF 50V 5% NP0 0402,0402,SMD,Y,PCBWAY,11-24,,
5,"C17, C18",2,Murata,GJM0335C1E6R0CB01J,CAP CER 6.0PF 25V NP0 0201,0201,SMD,Y,PCBWAY,11-24,,
6,C24,1,YAGEO,CC0402KRX5R6BB475,CAP CER 4.7UF 10V X5R 0402,0402,SMD,Y,PCBWAY,11-24,,
7,"D1, D2, D3, D6, D7, D8",1,Lite-On Inc.,LTST-C191TBKT,LED BLUE CLEAR CHIP SMD,0603,SMD,Y,PCBWAY,11-24,,
8,"D4, D5, D9, D10, D11",1,Lite-On Inc.,LTST-C191GKT,LED GREEN CLEAR CHIP SMD,0603,SMD,Y,PCBWAY,11-24,,
9,FB1,1,TDK,MMZ1608S601ATA00,Signal Line Ferrite Bead 600O  @ 100MHz 500mA DCR 350mO SMD 0603,0603,SMD,Y,PCBWAY,11-24,,
10,J1,1,Molex,1050170001,"Micro-USB B Receptacle, Right Angle, Bottom Mount, Surface Mount, with Solder Tabs, -30 to 85 degC, 5-Pin USB, RoHS, Tape and Reel",Micro USB,SMT,Y,PCBWAY,11-24,,
11,LED_ONB,1,Broadcom,HSMH-C150,LED RED DIFFUSED CHIP SMD,3216,SMD,Y,PCBWAY,11-24,,
12,"R1, R2, R6, R10, R13, R14",6,YAGEO,RC0603FR-07330RL,RES 330 OHM 1% 1/10W 0603,0603,SMD,Y,PCBWAY,11-24,,
13,"R3, R4, R5, R15, R16, R19",6,YAGEO,RC0603FR-0710KL,RES 10K OHM 1% 1/10W 0603,0603,SMD,Y,PCBWAY,11-24,,
14,"R7, R8, R9, R11, R12, R17, R18, R20, R21, R22",10,YAGEO,RC0603FR-071KL,RES 1K OHM 1% 1/10W 0603,0603,SMD,Y,PCBWAY,11-24,,
15,"D12,D13",1,Vishay,VLMY1300-GS08,LED YELLOW 0603 SMD,0603,SMD,Y,PCBWAY,11-24,,
16,"U1, U2, U4, U5, U6",1,Microchip,AT42QT1010,"One-channel Touch Sensor IC with Reset Timer, -40° to +85° C, 6-pin SOT23",6-pin SOT23-6 RoHS compliant,SMD,Y,PCBWAY,11-24,,
17,U3,1,Microchip,ATMEGA328P-AU,IC MCU 8BIT 32KB FLASH 32TQFP,32A,SMD,Y,PCBWAY,11-24,,
18,U7,1,FTDI,FT232RL-REEL,IC USB FS SERIAL UART 28 SSOP,28 SSOP,SMD,Y,PCBWAY,11-24,,
